Status,Characteristic,Shape,"Part number (#:Packing code)","L size","W size","T size","Temperature   characteristics","Rated   voltage",Capacitance,"Tolerance   of   capacitance",Notes
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E100JA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,10pF,±5%,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E101JA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,100pF,±5%,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E120JA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,12pF,±5%,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E150JA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,15pF,±5%,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E180JA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,18pF,±5%,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E1R0CA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,1.0pF,±0.25pF,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E220JA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,22pF,±5%,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E270JA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,27pF,±5%,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E2R0CA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,2.0pF,±0.25pF,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E330JA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,33pF,±5%,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E390JA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,39pF,±5%,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E3R0CA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,3.0pF,±0.25pF,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E470JA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,47pF,±5%,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E4R0CA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,4.0pF,±0.25pF,
"In Production","Powerｔrain/Safety for Automotive	Up to 125°C	AEC-Q200	Reflow soldering",SMD,GCM0335C1E560JA16#,"0.6 ±0.03mm","0.3 ±0.03mm","0.3 ±0.03mm","C0G (EIA)",25Vdc,56pF,±5%,
