Status,Characteristic,Shape,"Part number (#:Packing code)","L size","W size","T size","Temperature   characteristics","Rated   voltage",Capacitance,"Tolerance   of   capacitance",Notes
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E100JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,10pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E110JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,11pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E120JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,12pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E130JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,13pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E150JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,15pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E160JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,16pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E180JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,18pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E200JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,20pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E220JB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,22pF,±5%,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E4R0CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,4.0pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E4R1CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,4.1pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E4R2CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,4.2pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E4R3CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,4.3pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E4R4CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,4.4pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E4R5CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,4.5pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E4R6CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,4.6pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E4R7CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,4.7pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E4R8CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,4.8pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E4R9CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,4.9pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E5R0CB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,5.0pF,±0.25pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E5R1DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,5.1pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E5R2DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,5.2pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E5R3DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,5.3pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E5R4DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,5.4pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E5R5DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,5.5pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E5R6DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,5.6pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E5R7DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,5.7pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E5R8DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,5.8pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E5R9DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,5.9pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E6R0DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,6.0pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E6R1DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,6.1pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E6R2DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,6.2pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E6R3DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,6.3pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E6R4DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,6.4pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E6R5DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,6.5pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E6R6DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,6.6pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E6R7DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,6.7pF,±0.5pF,
"In Production","Up to 125°C	General	Low dissipation/High Q	Reflow soldering",SMD,GJM0222C1E6R8DB01#,"0.4 ±0.02mm","0.2 ±0.02mm","0.2 ±0.02mm","CH (JIS)",25Vdc,6.8pF,±0.5pF,
