Status,Characteristic,Shape,"Part number (#:Packing code)","L size","W size","T size","Temperature   characteristics","Rated   voltage",Capacitance,"Tolerance   of   capacitance",Notes
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A360GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,36pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A360JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,36pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A390GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,39pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A390JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,39pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A430GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,43pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A430JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,43pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A470GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,47pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2A470JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",100Vdc,47pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D100GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,10pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D100JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,10pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D110GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,11pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D110JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,11pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D120GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,12pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D120JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,12pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D130GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,13pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D130JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,13pF,±5%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D150GB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,15pF,±2%,
"In Production","General	Up to 125°C	Low dissipation/High Q	Reflow soldering",SMD,GQM1555C2D150JB01#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","C0G (EIA)",200Vdc,15pF,±5%,
