Status,Characteristic,Shape,"Part number (#:Packing code)","L size","W size","T size","Temperature   characteristics","Rated   voltage",Capacitance,"Tolerance   of   capacitance",Notes
"In Production","General	Up to 105°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15CC222D1A3#,"1.0 ±0.1mm","0.5 ±0.2mm","0.4 ±0.1mm",,10Vdc,2200pF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15CC222D1C3#,"1.0 ±0.1mm","0.5 ±0.2mm","0.4 ±0.1mm",,16Vdc,2200pF,±20%,
"In Production","General	Up to 105°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15CC223C1A3#,"1.0 ±0.1mm","0.5 ±0.2mm","0.4 ±0.1mm",,10Vdc,22000pF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15CC223C1C3#,"1.0 ±0.1mm","0.5 ±0.2mm","0.4 ±0.1mm",,16Vdc,22000pF,±20%,
"In Production","General	Up to 105°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC104D0J3#,"1.0 ±0.1mm","0.5 ±0.2mm","0.4 ±0.1mm",,6.3Vdc,0.10μF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC104R1A3#,"1.0 ±0.1mm","0.5 ±0.2mm","0.4 ±0.1mm",,10Vdc,0.10μF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC105R0G3#,"1.0 ±0.05mm","0.5 ±0.1mm","0.3 ±0.05mm",,4Vdc,1.0μF,±20%,
"In Production","General	Up to 105°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC224D0J3#,"1.0 ±0.1mm","0.5 ±0.2mm","0.4 ±0.1mm",,6.3Vdc,0.22μF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC224R1A3#,"1.0 ±0.1mm","0.5 ±0.2mm","0.4 ±0.1mm",,10Vdc,0.22μF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC435R0E3#,"1.0 ±0.1mm","0.5 ±0.2mm","0.4 ±0.1mm",,2.5Vdc,4.3μF,±20%,
"In Production","General	Up to 105°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC473C1A3#,"1.0 ±0.1mm","0.5 ±0.2mm","0.4 ±0.1mm",,10Vdc,47000pF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC473C1C3#,"1.0 ±0.1mm","0.5 ±0.2mm","0.4 ±0.1mm",,16Vdc,47000pF,±20%,
"In Production","General	Up to 105°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC474D0G3#,"1.0 ±0.05mm","0.5 ±0.1mm","0.3 ±0.05mm",,4Vdc,0.47μF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC474R0J3#,"1.0 ±0.05mm","0.5 ±0.1mm","0.3 ±0.05mm",,6.3Vdc,0.47μF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC755R0E3#,"1.0 ±0.2mm","0.5 ±0.15mm","0.5 ±0.15mm",,2.5Vdc,7.5μF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM15PC915R0E3#,"1.0 ±0.2mm","0.5 ±0.2mm","0.5 ±0.2mm",,2.5Vdc,9.1μF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18CC101R1C3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,16Vdc,100pF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18CC102R1C3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,16Vdc,1000pF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18CC221R1C3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,16Vdc,220pF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18CC222R1C3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,16Vdc,2200pF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18CC223R1C3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,16Vdc,22000pF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18CC471R1C3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,16Vdc,470pF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18PC104R1C3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,16Vdc,0.10μF,±20%,
"In Production","General	Up to 105°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18PC105R0J3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.8 ±0.1mm",,6.3Vdc,1.0μF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18PC224R0J3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,6.3Vdc,0.22μF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18PC225B0J3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,6.3Vdc,2.2μF,±20%,
"In Production","General	Up to 85°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18PC225B1A3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.8 ±0.1mm",,10Vdc,2.2μF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18PC474R0J3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,6.3Vdc,0.47μF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18PS105D0J3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,6.3Vdc,1.0μF,±20%,
"In Production","General	Up to 105°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18PS105R0J3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,6.3Vdc,1.0μF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM18PS474R0J3#,"1.6 ±0.1mm","0.8 ±0.1mm","0.6 ±0.1mm",,6.3Vdc,0.47μF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM21CC102R1H3#,"2.0 ±0.2mm","1.25 ±0.1mm","0.85 ±0.1mm",,50Vdc,1000pF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM21CC221R1H3#,"2.0 ±0.2mm","1.25 ±0.1mm","0.85 ±0.1mm",,50Vdc,220pF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM21CC222R1H3#,"2.0 ±0.2mm","1.25 ±0.1mm","0.85 ±0.1mm",,50Vdc,2200pF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM21CC223R1H3#,"2.0 ±0.2mm","1.25 ±0.1mm","0.85 ±0.1mm",,50Vdc,22000pF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM21CC471R1H3#,"2.0 ±0.2mm","1.25 ±0.1mm","0.85 ±0.1mm",,50Vdc,470pF,±20%,
"In Production","General	Up to 125°C	Low inductance	EMIFIL	Reflow soldering",SMD,NFM21PC104R1E3#,"2.0 ±0.2mm","1.25 ±0.1mm","0.85 ±0.1mm",,25Vdc,0.10μF,±20%,
