Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	Multilayer",LQG15HS10NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",10nH,±2%,500mA,,0.26Ω,3400MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS10NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",10nH,±3%,500mA,,0.26Ω,3400MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS10NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",10nH,±5%,500mA,,0.26Ω,3400MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS12NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",12nH,±2%,500mA,,0.28Ω,3000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS12NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",12nH,±3%,500mA,,0.28Ω,3000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS12NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",12nH,±5%,500mA,,0.28Ω,3000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS15NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",15nH,±2%,450mA,,0.32Ω,2500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS15NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",15nH,±3%,450mA,,0.32Ω,2500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS15NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",15nH,±5%,450mA,,0.32Ω,2500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS18NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",18nH,±2%,400mA,,0.36Ω,2200MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS18NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",18nH,±3%,400mA,,0.36Ω,2200MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS18NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",18nH,±5%,400mA,,0.36Ω,2200MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N0B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.0nH,±0.1nH,1000mA,,0.07Ω,10000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N0C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.0nH,±0.2nH,1000mA,,0.07Ω,10000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N0S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.0nH,±0.3nH,1000mA,,0.07Ω,10000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N1B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.1nH,±0.1nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N1C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.1nH,±0.2nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N1S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.1nH,±0.3nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N2B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.2nH,±0.1nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N2C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.2nH,±0.2nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N2S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.2nH,±0.3nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N3B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.3nH,±0.1nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N3C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.3nH,±0.2nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N3S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.3nH,±0.3nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N5B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.5nH,±0.1nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N5C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.5nH,±0.2nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N5S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.5nH,±0.3nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N6B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.6nH,±0.1nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N6C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.6nH,±0.2nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N6S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.6nH,±0.3nH,1000mA,,0.07Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N8B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.8nH,±0.1nH,950mA,,0.08Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N8C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.8nH,±0.2nH,950mA,,0.08Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS1N8S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",1.8nH,±0.3nH,950mA,,0.08Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS22NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",22nH,±2%,350mA,,0.42Ω,1900MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS22NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",22nH,±3%,350mA,,0.42Ω,1900MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS22NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",22nH,±5%,350mA,,0.42Ω,1900MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS27NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",27nH,±2%,350mA,,0.46Ω,1700MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS27NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",27nH,±3%,350mA,,0.46Ω,1700MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS27NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",27nH,±5%,350mA,,0.46Ω,1700MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N0B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.0nH,±0.1nH,900mA,,0.09Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N0C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.0nH,±0.2nH,900mA,,0.09Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N0S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.0nH,±0.3nH,900mA,,0.09Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N2B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.2nH,±0.1nH,900mA,,0.09Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N2C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.2nH,±0.2nH,900mA,,0.09Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N2S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.2nH,±0.3nH,900mA,,0.09Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N4B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.4nH,±0.1nH,850mA,,0.11Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N4C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.4nH,±0.2nH,850mA,,0.11Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N4S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.4nH,±0.3nH,850mA,,0.11Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N7B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.7nH,±0.1nH,800mA,,0.12Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N7C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.7nH,±0.2nH,800mA,,0.12Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS2N7S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",2.7nH,±0.3nH,800mA,,0.12Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS33NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",33nH,±2%,350mA,,0.58Ω,1600MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS33NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",33nH,±3%,350mA,,0.58Ω,1600MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS33NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",33nH,±5%,350mA,,0.58Ω,1600MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS39NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",39nH,±2%,300mA,,0.65Ω,1200MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS39NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",39nH,±3%,300mA,,0.65Ω,1200MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS39NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",39nH,±5%,300mA,,0.65Ω,1200MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N0B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.0nH,±0.1nH,800mA,,0.125Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N0C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.0nH,±0.2nH,800mA,,0.125Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N0S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.0nH,±0.3nH,800mA,,0.125Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N3B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.3nH,±0.1nH,800mA,,0.125Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N3C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.3nH,±0.2nH,800mA,,0.125Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N3S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.3nH,±0.3nH,800mA,,0.125Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N6B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.6nH,±0.1nH,750mA,,0.14Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N6C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.6nH,±0.2nH,750mA,,0.14Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N6S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.6nH,±0.3nH,750mA,,0.14Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N9B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.9nH,±0.1nH,750mA,,0.14Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N9C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.9nH,±0.2nH,750mA,,0.14Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS3N9S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",3.9nH,±0.3nH,750mA,,0.14Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS47NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",47nH,±2%,300mA,,0.72Ω,1000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS47NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",47nH,±3%,300mA,,0.72Ω,1000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS47NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",47nH,±5%,300mA,,0.72Ω,1000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS4N3B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",4.3nH,±0.1nH,750mA,,0.14Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS4N3C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",4.3nH,±0.2nH,750mA,,0.14Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS4N3S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",4.3nH,±0.3nH,750mA,,0.14Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS4N7B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",4.7nH,±0.1nH,700mA,,0.16Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS4N7C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",4.7nH,±0.2nH,700mA,,0.16Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS4N7S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",4.7nH,±0.3nH,700mA,,0.16Ω,6000MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS56NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",56nH,±2%,250mA,,0.82Ω,800MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS56NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",56nH,±3%,250mA,,0.82Ω,800MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS56NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",56nH,±5%,250mA,,0.82Ω,800MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS5N1B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",5.1nH,±0.1nH,650mA,,0.18Ω,5300MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS5N1C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",5.1nH,±0.2nH,650mA,,0.18Ω,5300MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS5N1S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",5.1nH,±0.3nH,650mA,,0.18Ω,5300MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS5N6B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",5.6nH,±0.1nH,650mA,,0.18Ω,4500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS5N6C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",5.6nH,±0.2nH,650mA,,0.18Ω,4500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS5N6S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",5.6nH,±0.3nH,650mA,,0.18Ω,4500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS68NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",68nH,±2%,250mA,,0.92Ω,800MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS68NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",68nH,±3%,250mA,,0.92Ω,800MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS68NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",68nH,±5%,250mA,,0.92Ω,800MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS6N2B02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",6.2nH,±0.1nH,600mA,,0.2Ω,4500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS6N2C02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",6.2nH,±0.2nH,600mA,,0.2Ω,4500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS6N2S02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",6.2nH,±0.3nH,600mA,,0.2Ω,4500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS6N8G02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",6.8nH,±2%,600mA,,0.22Ω,4500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS6N8H02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",6.8nH,±3%,600mA,,0.22Ω,4500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS6N8J02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",6.8nH,±5%,600mA,,0.22Ω,4500MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS7N5G02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",7.5nH,±2%,550mA,,0.24Ω,4200MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS7N5H02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",7.5nH,±3%,550mA,,0.24Ω,4200MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS7N5J02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",7.5nH,±5%,550mA,,0.24Ω,4200MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS82NG02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",82nH,±2%,200mA,,1.2Ω,700MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS82NH02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",82nH,±3%,200mA,,1.2Ω,700MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS82NJ02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",82nH,±5%,200mA,,1.2Ω,700MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS8N2G02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",8.2nH,±2%,550mA,,0.24Ω,3700MHz,LQG15HS_02
"In Production","General	125℃	Multilayer",LQG15HS8N2H02#,"1.0 ±0.05mm","0.5 ±0.05mm","0.5 ±0.05mm","0402 (1005)",8.2nH,±3%,550mA,,0.24Ω,3700MHz,LQG15HS_02
