Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	85℃	Film",LQP15MN10NG02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",10nH,±2%,100mA,,1.3Ω,4500MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN12NG02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",12nH,±2%,90mA,,1.6Ω,3700MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN15NG02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",15nH,±2%,90mA,,1.8Ω,3300MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN18NG02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",18nH,±2%,80mA,,2.0Ω,3100MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N0B02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.0nH,±0.1nH,400mA,,0.1Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N0W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.0nH,±0.05nH,400mA,,0.1Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N1B02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.1nH,±0.1nH,390mA,,0.1Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N1W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.1nH,±0.05nH,390mA,,0.1Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N2B02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.2nH,±0.1nH,390mA,,0.1Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N2W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.2nH,±0.05nH,390mA,,0.1Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N3B02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.3nH,±0.1nH,280mA,,0.2Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N3W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.3nH,±0.05nH,280mA,,0.2Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N4W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.4nH,±0.05nH,280mA,,0.2Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N5B02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.5nH,±0.1nH,280mA,,0.2Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N5W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.5nH,±0.05nH,280mA,,0.2Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N6B02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.6nH,±0.1nH,220mA,,0.3Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N6W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.6nH,±0.05nH,220mA,,0.3Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N7W02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.7nH,±0.05nH,280mA,,0.2Ω,6000MHz,LQP15MN_02
"In Production","General	85℃	Film",LQP15MN1N8B02#,"1.0 ±0.1mm","0.5 ±0.1mm","0.35 ±0.1mm","0402 (1005)",1.8nH,±0.1nH,280mA,,0.2Ω,6000MHz,LQP15MN_02
