Status,Features,Part number # indicates the package specification code.,L size,W size,T size,Size code inch (mm),Inductance,Inductance Tolerance,Rated Current (Itemp),Rated Current (Isat),Rdc (max.),SRF (min.),Series
In Production,"General,125?,WoundNonmag",LQW15AN10NG00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),10nH,±2%,500mA,,0.17?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN10NH00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),10nH,±3%,500mA,,0.17?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN10NJ00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),10nH,±5%,500mA,,0.17?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN11NG00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),11nH,±2%,500mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN11NH00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),11nH,±3%,500mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN11NJ00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),11nH,±5%,500mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN12NG00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),12nH,±2%,500mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN12NH00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),12nH,±3%,500mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN12NJ00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),12nH,±5%,500mA,,0.14?,5.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN13NG00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),13nH,±2%,430mA,,0.21?,5.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN13NH00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),13nH,±3%,430mA,,0.21?,5.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN13NJ00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),13nH,±5%,430mA,,0.21?,5.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN15NG00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),15nH,±2%,460mA,,0.16?,5.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN15NH00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),15nH,±3%,460mA,,0.16?,5.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN15NJ00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),15nH,±5%,460mA,,0.16?,5.0GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN16NG00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),16nH,±2%,370mA,,0.24?,4.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN16NH00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),16nH,±3%,370mA,,0.24?,4.5GHz,LQW15AN_00
In Production,"General,125?,WoundNonmag",LQW15AN16NJ00#,1.0 ±0.1mm,0.6 ±0.1mm,0.5 ±0.1mm,0402 (1005),16nH,±5%,370mA,,0.24?,4.5GHz,LQW15AN_00
