Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N3C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.3nH,±0.2nH,1200mA,,0.017Ω,16GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N3D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.3nH,±0.5nH,1200mA,,0.017Ω,16GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N4C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.4nH,±0.2nH,1100mA,,0.019Ω,15GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN1N4D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",1.4nH,±0.5nH,1100mA,,0.019Ω,15GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N2C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.2nH,±0.2nH,1000mA,,0.027Ω,14GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N2D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.2nH,±0.5nH,1000mA,,0.027Ω,14GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N3C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.3nH,±0.2nH,1000mA,,0.027Ω,14GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N3D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.3nH,±0.5nH,1000mA,,0.027Ω,14GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN2N4D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",2.4nH,±0.5nH,1000mA,,0.027Ω,14GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N3D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.3nH,±0.5nH,900mA,,0.040Ω,12GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N4C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.4nH,±0.2nH,900mA,,0.040Ω,12GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N4D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.4nH,±0.5nH,900mA,,0.040Ω,12GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N5C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.5nH,±0.2nH,900mA,,0.040Ω,9.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N5D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.5nH,±0.5nH,900mA,,0.040Ω,9.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N6C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.6nH,±0.2nH,900mA,,0.040Ω,9.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N6D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.6nH,±0.5nH,900mA,,0.040Ω,9.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N8C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.8nH,±0.2nH,900mA,,0.040Ω,7GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N8D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.8nH,±0.5nH,900mA,,0.040Ω,7GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN3N9D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",3.9nH,±0.5nH,900mA,,0.040Ω,7GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N0C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.0nH,±0.2nH,800mA,,0.051Ω,6.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N0D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.0nH,±0.5nH,800mA,,0.051Ω,6.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N2C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.2nH,±0.2nH,800mA,,0.051Ω,6.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N2D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.2nH,±0.5nH,800mA,,0.051Ω,6.5GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN4N7D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",4.7nH,±0.5nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N1C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.1nH,±0.2nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N1D10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.1nH,±0.5nH,800mA,,0.051Ω,8GHz,LQW15AN_10
"In Production","General	125℃	WoundNonmag	Low Rdc	HiQtype",LQW15AN5N2C10#,"1.0 ±0.1mm","0.6 ±0.1mm","0.5 ±0.1mm","0402 (1005)",5.2nH,±0.2nH,800mA,,0.051Ω,8GHz,LQW15AN_10
