Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag",LQW18AN10NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",10nH,±2%,650mA,,0.11Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN10NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",10nH,±5%,650mA,,0.11Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN11NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",11nH,±2%,650mA,,0.11Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN11NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",11nH,±5%,650mA,,0.11Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN12NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",12nH,±2%,600mA,,0.13Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN12NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",12nH,±5%,600mA,,0.13Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN13NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",13nH,±2%,600mA,,0.13Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN13NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",13nH,±5%,600mA,,0.13Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN15NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",15nH,±2%,600mA,,0.13Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN15NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",15nH,±5%,600mA,,0.13Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN16NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",16nH,±2%,550mA,,0.16Ω,5500MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN16NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",16nH,±5%,550mA,,0.16Ω,5500MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN18NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",18nH,±2%,550mA,,0.16Ω,5500MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN18NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",18nH,±5%,550mA,,0.16Ω,5500MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN20NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",20nH,±2%,550mA,,0.16Ω,4900MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN20NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",20nH,±5%,550mA,,0.16Ω,4900MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN22NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",22nH,±2%,500mA,,0.17Ω,4600MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN22NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",22nH,±5%,500mA,,0.17Ω,4600MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN24NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",24nH,±2%,500mA,,0.21Ω,3800MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN24NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",24nH,±5%,500mA,,0.21Ω,3800MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN27NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",27nH,±2%,440mA,,0.21Ω,3700MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN27NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",27nH,±5%,440mA,,0.21Ω,3700MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN2N2D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",2.2nH,±0.5nH,700mA,,0.042Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN30NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",30nH,±2%,420mA,,0.23Ω,3300MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN30NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",30nH,±5%,420mA,,0.23Ω,3300MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN33NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",33nH,±2%,420mA,,0.23Ω,3200MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN33NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",33nH,±5%,420mA,,0.23Ω,3200MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN36NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",36nH,±2%,400mA,,0.26Ω,2900MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN36NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",36nH,±5%,400mA,,0.26Ω,2900MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN39NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",39nH,±2%,400mA,,0.26Ω,2800MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN39NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",39nH,±5%,400mA,,0.26Ω,2800MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN3N6C00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",3.6nH,±0.2nH,850mA,,0.059Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN3N6D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",3.6nH,±0.5nH,850mA,,0.059Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN3N9C00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",3.9nH,±0.2nH,850mA,,0.059Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN3N9D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",3.9nH,±0.5nH,850mA,,0.059Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN43NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",43nH,±2%,380mA,,0.29Ω,2700MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN43NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",43nH,±5%,380mA,,0.29Ω,2700MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN47NG00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",47nH,±2%,380mA,,0.29Ω,2600MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN47NJ00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",47nH,±5%,380mA,,0.29Ω,2600MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN4N3C00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",4.3nH,±0.2nH,850mA,,0.059Ω,6000MHz,LQW18AN_00
"In Production","General	125℃	WoundNonmag",LQW18AN4N3D00#,"1.6 ±0.2mm","0.8 ±0.2mm","0.8 ±0.2mm","0603 (1608)",4.3nH,±0.5nH,850mA,,0.059Ω,6000MHz,LQW18AN_00
