Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN10NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",10nH,±2%,1600mA,,0.052Ω,4750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN10NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",10nH,±5%,1600mA,,0.052Ω,4750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN11NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",11nH,±2%,1600mA,,0.052Ω,4750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN11NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",11nH,±5%,1600mA,,0.052Ω,4750MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN12NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",12nH,±2%,1500mA,,0.064Ω,5000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN12NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",12nH,±5%,1500mA,,0.064Ω,5000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN13NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",13nH,±2%,1500mA,,0.064Ω,5000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN13NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",13nH,±5%,1500mA,,0.064Ω,5000MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN15NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",15nH,±2%,1400mA,,0.075Ω,4600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN15NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",15nH,±5%,1400mA,,0.075Ω,4600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN16NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",16nH,±2%,1400mA,,0.075Ω,4600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN16NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",16nH,±5%,1400mA,,0.075Ω,4600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN17NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",17nH,±2%,1400mA,,0.075Ω,4600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN17NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",17nH,±5%,1400mA,,0.075Ω,4600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN18NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",18nH,±2%,1400mA,,0.075Ω,4600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN18NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",18nH,±5%,1400mA,,0.075Ω,4600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN19NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",19nH,±2%,1400mA,,0.075Ω,4600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN19NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",19nH,±5%,1400mA,,0.075Ω,4600MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN22NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",22nH,±2%,1300mA,,0.086Ω,3450MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN22NJ80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",22nH,±5%,1300mA,,0.086Ω,3450MHz,LQW18AN_80
"In Production","General	125℃	WoundNonmag	Low Rdc",LQW18AN23NG80#,"1.65 ±0.1mm","0.99 ±0.1mm","0.9 ±0.1mm","0603 (1608)",23nH,±2%,1300mA,,0.086Ω,3450MHz,LQW18AN_80
