Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag",LQW18AS10NG00#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",10nH,±2%,700mA,,0.130Ω,4800MHz,LQW18AS_00
"In Production","General	125℃	WoundNonmag",LQW18AS10NJ00#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",10nH,±5%,700mA,,0.130Ω,4800MHz,LQW18AS_00
"In Production","General	125℃	WoundNonmag",LQW18AS11NG00#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",11nH,±2%,700mA,,0.086Ω,4000MHz,LQW18AS_00
"In Production","General	125℃	WoundNonmag",LQW18AS11NJ00#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",11nH,±5%,700mA,,0.086Ω,4000MHz,LQW18AS_00
"In Production","General	125℃	WoundNonmag",LQW18AS12NG00#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",12nH,±2%,700mA,,0.130Ω,4000MHz,LQW18AS_00
"In Production","General	125℃	WoundNonmag",LQW18AS12NJ00#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",12nH,±5%,700mA,,0.130Ω,4000MHz,LQW18AS_00
"In Production","General	125℃	WoundNonmag",LQW18AS15NG00#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",15nH,±2%,700mA,,0.170Ω,4000MHz,LQW18AS_00
"In Production","General	125℃	WoundNonmag",LQW18AS15NJ00#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",15nH,±5%,700mA,,0.170Ω,4000MHz,LQW18AS_00
"In Production","General	125℃	WoundNonmag",LQW18AS16NG00#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",16nH,±2%,700mA,,0.104Ω,3300MHz,LQW18AS_00
"In Production","General	125℃	WoundNonmag",LQW18AS16NJ00#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",16nH,±5%,700mA,,0.104Ω,3300MHz,LQW18AS_00
