Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	85℃	WoundNonmag",LQW18AS10NG0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",10nH,±2%,700mA,,0.13Ω,4800MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS10NJ0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",10nH,±5%,700mA,,0.13Ω,4800MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS11NG0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",11nH,±2%,700mA,,0.086Ω,4000MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS11NJ0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",11nH,±5%,700mA,,0.086Ω,4000MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS15NG0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",15nH,±2%,700mA,,0.17Ω,4000MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS15NJ0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",15nH,±5%,700mA,,0.17Ω,4000MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS16NG0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",16nH,±2%,700mA,,0.104Ω,3300MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS16NJ0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",16nH,±5%,700mA,,0.104Ω,3300MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS18NG0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",18nH,±2%,700mA,,0.17Ω,3100MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS18NJ0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",18nH,±5%,700mA,,0.17Ω,3100MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS22NG0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",22nH,±2%,700mA,,0.19Ω,3000MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS22NJ0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",22nH,±5%,700mA,,0.19Ω,3000MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS24NG0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",24nH,±2%,700mA,,0.135Ω,2650MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS24NJ0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",24nH,±5%,700mA,,0.135Ω,2650MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS33NG0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",33nH,±2%,600mA,,0.22Ω,2300MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS33NJ0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",33nH,±5%,600mA,,0.22Ω,2300MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS4N3G0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",4.3nH,±2%,700mA,,0.063Ω,5900MHz,LQW18AS_0C
"In Production","General	85℃	WoundNonmag",LQW18AS4N3J0C#,"1.6 ±0.2mm","0.8 ±0.3mm","0.8 ±0.2mm","0603 (1608)",4.3nH,±5%,700mA,,0.063Ω,5900MHz,LQW18AS_0C
