Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag",LQW2BAN11NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",11nH,±2%,2400mA,,0.04Ω,4700MHz,LQW2BAN_00
"In Production","General	125℃	WoundNonmag",LQW2BAN11NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",11nH,±5%,2400mA,,0.04Ω,4700MHz,LQW2BAN_00
"In Production","General	125℃	WoundNonmag",LQW2BAN12NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",12nH,±2%,2400mA,,0.04Ω,4300MHz,LQW2BAN_00
"In Production","General	125℃	WoundNonmag",LQW2BAN12NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",12nH,±5%,2400mA,,0.04Ω,4300MHz,LQW2BAN_00
"In Production","General	125℃	WoundNonmag",LQW2BAN13NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",13nH,±2%,2400mA,,0.04Ω,3500MHz,LQW2BAN_00
"In Production","General	125℃	WoundNonmag",LQW2BAN13NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",13nH,±5%,2400mA,,0.04Ω,3500MHz,LQW2BAN_00
"In Production","General	125℃	WoundNonmag",LQW2BAN15NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",15nH,±2%,1500mA,,0.12Ω,1940MHz,LQW2BAN_00
"In Production","General	125℃	WoundNonmag",LQW2BAN15NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",15nH,±5%,1500mA,,0.12Ω,1940MHz,LQW2BAN_00
"In Production","General	125℃	WoundNonmag",LQW2BAN18NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",18nH,±2%,2200mA,,0.05Ω,3620MHz,LQW2BAN_00
"In Production","General	125℃	WoundNonmag",LQW2BAN18NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",18nH,±5%,2200mA,,0.05Ω,3620MHz,LQW2BAN_00
