Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag",LQW2BAS10NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",10nH,±2%,600mA,,0.10Ω,4300MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS10NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",10nH,±5%,600mA,,0.10Ω,4300MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS12NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",12nH,±2%,600mA,,0.15Ω,4000MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS12NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",12nH,±5%,600mA,,0.15Ω,4000MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS15NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",15nH,±2%,600mA,,0.17Ω,3200MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS15NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",15nH,±5%,600mA,,0.17Ω,3200MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS18NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",18nH,±2%,600mA,,0.20Ω,3100MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS18NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",18nH,±5%,600mA,,0.20Ω,3100MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS1R0J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",1000nH,±5%,170mA,,2.4Ω,200MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS22NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",22nH,±2%,500mA,,0.22Ω,2600MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS22NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",22nH,±5%,500mA,,0.22Ω,2600MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS24NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",24nH,±2%,500mA,,0.22Ω,2400MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS24NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",24nH,±5%,500mA,,0.22Ω,2400MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS27NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",27nH,±2%,500mA,,0.25Ω,2580MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS27NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",27nH,±5%,500mA,,0.25Ω,2580MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS2N7J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",2.7nH,±5%,910mA,,0.03Ω,15000MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS2N8J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",2.8nH,±5%,800mA,,0.06Ω,12200MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS33NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",33nH,±2%,500mA,,0.27Ω,2150MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS33NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",33nH,±5%,500mA,,0.27Ω,2150MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS36NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",36nH,±2%,500mA,,0.27Ω,1900MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS36NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",36nH,±5%,500mA,,0.27Ω,1900MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS39NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",39nH,±2%,500mA,,0.29Ω,2000MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS39NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",39nH,±5%,500mA,,0.29Ω,2000MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS3N0J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",3.0nH,±5%,800mA,,0.06Ω,12200MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS43NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",43nH,±2%,500mA,,0.34Ω,1800MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS43NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",43nH,±5%,500mA,,0.34Ω,1800MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS47NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",47nH,±2%,500mA,,0.31Ω,1700MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS47NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",47nH,±5%,500mA,,0.31Ω,1700MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS56NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",56nH,±2%,500mA,,0.34Ω,1600MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS56NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",56nH,±5%,500mA,,0.34Ω,1600MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS5N6J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",5.6nH,±5%,600mA,,0.08Ω,5900MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS68NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",68nH,±2%,500mA,,0.38Ω,1500MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS68NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",68nH,±5%,500mA,,0.38Ω,1500MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS6N0J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",6.0nH,±5%,600mA,,0.03Ω,4500MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS6N8J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",6.8nH,±5%,600mA,,0.11Ω,5600MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS7N5J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",7.5nH,±5%,600mA,,0.14Ω,4800MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS82NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",82nH,±2%,400mA,,0.42Ω,1330MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS82NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",82nH,±5%,400mA,,0.42Ω,1330MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS8N2G00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",8.2nH,±2%,600mA,,0.12Ω,4400MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS8N2J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",8.2nH,±5%,600mA,,0.12Ω,4400MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS91NG00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",91nH,±2%,400mA,,0.48Ω,1330MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BAS91NJ00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",91nH,±5%,400mA,,0.48Ω,1330MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BASR10G00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",100nH,±2%,400mA,,0.46Ω,1250MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BASR10J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",100nH,±5%,400mA,,0.46Ω,1250MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BASR11G00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",110nH,±2%,400mA,,0.48Ω,1100MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BASR11J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",110nH,±5%,400mA,,0.48Ω,1100MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BASR12G00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",120nH,±2%,400mA,,0.51Ω,1100MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BASR12J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",120nH,±5%,400mA,,0.51Ω,1100MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BASR15G00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",150nH,±2%,400mA,,0.56Ω,920MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BASR15J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",150nH,±5%,400mA,,0.56Ω,920MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BASR18G00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",180nH,±2%,400mA,,0.64Ω,920MHz,LQW2BAS_00
"In Production","General	125℃	WoundNonmag",LQW2BASR18J00#,"2.09 ±0.2mm","1.53 ±0.2mm","1.42 ±0.1mm","0805 (2015)",180nH,±5%,400mA,,0.64Ω,920MHz,LQW2BAS_00
