Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	85℃	WoundNonmag",LQW2BHN10NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",10nH,±5%,1320mA,,0.03Ω,3300MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN12NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",12nH,±5%,680mA,,0.11Ω,3200MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN15NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",15nH,±5%,630mA,,0.12Ω,2700MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN18NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",18nH,±5%,690mA,,0.10Ω,2600MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN22NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",22nH,±5%,720mA,,0.09Ω,2100MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN27NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",27nH,±5%,540mA,,0.17Ω,2300MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN33NG03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",33nH,±2%,570mA,,0.15Ω,1900MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN33NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",33nH,±5%,570mA,,0.15Ω,1900MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN39NG03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",39nH,±2%,730mA,,0.09Ω,1700MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN39NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",39nH,±5%,730mA,,0.09Ω,1700MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN3N3D03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",3.3nH,±0.5nH,910mA,,0.05Ω,6000MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN47NG03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",47nH,±2%,450mA,,0.23Ω,1600MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN47NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",47nH,±5%,450mA,,0.23Ω,1600MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN56NG03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",56nH,±2%,430mA,,0.26Ω,1500MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN56NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",56nH,±5%,430mA,,0.26Ω,1500MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN68NG03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",68nH,±2%,460mA,,0.23Ω,1200MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN68NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",68nH,±5%,460mA,,0.23Ω,1200MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN6N8D03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",6.8nH,±0.5nH,680mA,,0.11Ω,5400MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN82NG03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",82nH,±2%,320mA,,0.42Ω,1100MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN82NJ03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",82nH,±5%,320mA,,0.42Ω,1100MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHN8N2D03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",8.2nH,±0.5nH,630mA,,0.12Ω,3900MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHNR10G03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",100nH,±2%,270mA,,0.55Ω,900MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHNR10J03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",100nH,±5%,350mA,,0.38Ω,900MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHNR12G03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",120nH,±2%,320mA,,0.40Ω,750MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHNR12J03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",120nH,±5%,320mA,,0.40Ω,750MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHNR15G03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",150nH,±2%,260mA,,0.68Ω,350MHz,LQW2BHN_03
"In Production","General	85℃	WoundNonmag",LQW2BHNR15J03#,"2.0 ±0.2mm","1.5 ±0.2mm","1.7 +0.08/-0.1mm","0805 (2015)",150nH,±5%,390mA,,0.47Ω,350MHz,LQW2BHN_03
