Status,Features,"Part number # indicates the package specification code.","L size","W size","T size","Size code inch (mm)",Inductance,"Inductance Tolerance","Rated Current (Itemp)","Rated Current (Isat)","Rdc (max.)","SRF (min.)",Series
"In Production","General	125℃	WoundNonmag",LQW2UAS12NG00#,"2.62 ±0.3mm","2.45 ±0.2mm","1.83 ±0.2mm","1008 (2520)",12nH,±2%,1000mA,,0.09Ω,3300MHz,LQW2UAS_00
"In Production","General	125℃	WoundNonmag",LQW2UAS12NJ00#,"2.62 ±0.3mm","2.45 ±0.2mm","1.83 ±0.2mm","1008 (2520)",12nH,±5%,1000mA,,0.09Ω,3300MHz,LQW2UAS_00
"In Production","General	125℃	WoundNonmag",LQW2UAS18NG00#,"2.62 ±0.3mm","2.45 ±0.2mm","1.83 ±0.2mm","1008 (2520)",18nH,±2%,1000mA,,0.11Ω,2500MHz,LQW2UAS_00
"In Production","General	125℃	WoundNonmag",LQW2UAS18NJ00#,"2.62 ±0.3mm","2.45 ±0.2mm","1.83 ±0.2mm","1008 (2520)",18nH,±5%,1000mA,,0.11Ω,2500MHz,LQW2UAS_00
"In Production","General	125℃	WoundNonmag",LQW2UAS1R0F00#,"2.62 ±0.3mm","2.45 ±0.2mm","1.83 ±0.2mm","1008 (2520)",1000nH,±1%,370mA,,1.75Ω,290MHz,LQW2UAS_00
"In Production","General	125℃	WoundNonmag",LQW2UAS1R0G00#,"2.62 ±0.3mm","2.45 ±0.2mm","1.83 ±0.2mm","1008 (2520)",1000nH,±2%,370mA,,1.75Ω,290MHz,LQW2UAS_00
"In Production","General	125℃	WoundNonmag",LQW2UAS1R0J00#,"2.62 ±0.3mm","2.45 ±0.2mm","1.83 ±0.2mm","1008 (2520)",1000nH,±5%,370mA,,1.75Ω,290MHz,LQW2UAS_00
"In Production","General	125℃	WoundNonmag",LQW2UAS1R2J00#,"2.62 ±0.3mm","2.45 ±0.2mm","1.83 ±0.2mm","1008 (2520)",1200nH,±5%,310mA,,2.0Ω,210MHz,LQW2UAS_00
"In Production","General	125℃	WoundNonmag",LQW2UAS1R5J00#,"2.62 ±0.3mm","2.45 ±0.2mm","1.83 ±0.2mm","1008 (2520)",1500nH,±5%,330mA,,2.3Ω,120MHz,LQW2UAS_00
"In Production","General	125℃	WoundNonmag",LQW2UAS1R8J00#,"2.62 ±0.3mm","2.45 ±0.2mm","1.83 ±0.2mm","1008 (2520)",1800nH,±5%,300mA,,2.6Ω,140MHz,LQW2UAS_00
